            identifier             ,       coord                           ,  Mag V
* del Tau                          ,04 22 56.0951595936 +17 32 33.049802364,3.76
* del02 Tau                        ,04 24 05.7614531616 +17 26 38.871301956,4.8
* del03 Tau                        ,04 25 29.3847186643 +17 55 40.463442784,4.298
* tet01 Tau                        ,04 28 34.4960341 +15 57 43.849432      ,3.84
* 63 Tau                           ,04 23 25.0640719200 +16 46 38.150834016,5.625
* 71 Tau                           ,04 26 20.7708204936 +15 37 05.884087620,4.48
* tet02 Tau                        ,04 28 39.7416111456 +15 52 15.148738380,3.41
* 75 Tau                           ,04 28 26.3699079120 +16 21 34.829804916,4.969
* 58 Tau                           ,04 20 36.3103641648 +15 05 43.630164636,5.242
* h Tau                            ,04 19 57.7045712640 +14 02 06.732211488,5.568
* pi. Tau                          ,04 26 36.3714456672 +14 42 49.614689520,4.69
* 76 Tau                           ,04 28 23.4077842656 +14 44 27.451968756,5.892
* 60 Tau                           ,04 22 03.5181398136 +14 04 37.912925064,5.71
* b Tau                            ,04 28 50.1636212976 +13 02 51.367198596,5.014
HD 28217                           ,04 27 28.7694788712 +11 12 44.209409004,5.87
* r Tau                            ,04 23 51.82553 +09 27 39.4939          ,5.098
HD 27497                           ,04 20 41.2483660224 +06 07 50.850394680,5.751
* 44 Eri                           ,04 28 32.1210545496 +01 22 50.971057824,5.532
HD 27611                           ,04 21 27.0378283440 -00 05 53.425354740,5.854
* ksi Eri                          ,04 23 40.8520351224 -03 44 43.685041272,5.165
* d Eri                            ,04 20 42.8341039320 -07 35 32.985711240,5.838
* 228 Eri                          ,04 29 06.9254098152 -13 02 54.127769208,5.41
HD 28479                           ,04 28 39.0372711096 -19 27 31.943291832,5.933
HD 27616                           ,04 20 39.0130683192 -20 38 22.641114048,5.38
HD 27710                           ,04 21 31.31088 -25 43 42.8746          ,5.96
HD 27881                           ,04 23 05.6628417600 -24 53 31.702191900,5.796
* 43 Eri                           ,04 24 02.2063343712 -34 01 00.658242588,3.96
* 58 Per                           ,04 36 41.4301740 +41 15 53.321300      ,4.26
HD 28929                           ,04 34 37.9927914408 +28 57 40.141956564,5.9
V* HU Tau                          ,04 38 15.8301628464 +20 41 05.009485236,5.842
* 81 Tau                           ,04 30 38.8891193184 +15 41 30.760430964,5.454
* sig02 Tau                        ,04 39 16.5023050 +15 55 04.702951      ,4.665
HD 28527                           ,04 30 33.6326139192 +16 11 38.449696416,4.764
* 85 Tau                           ,04 31 51.7588453752 +15 51 05.846138784,5.998
* 89 Tau                           ,04 38 09.4406126112 +16 01 59.722631112,5.776
* alf Tau                          ,04 35 55.23907 +16 30 33.4885          ,0.86
* 80 Tau                           ,04 30 08.59775 +15 38 16.2194          ,5.552
* 83 Tau                           ,04 30 37.3629243168 +13 43 27.848332992,5.395
* sig01 Tau                        ,04 39 09.2232260856 +15 47 59.411241672,5.076
* rho Tau                          ,04 33 50.9178322656 +14 50 39.941657592,4.65
* c Tau                            ,04 38 09.4618938672 +12 30 39.013056648,4.27
* 93 Tau                           ,04 40 03.4199311320 +12 11 51.406702908,5.445
* 88 Tau                           ,04 35 39.2662111032 +10 09 38.711644992,4.25
HD 28978                           ,04 34 08.2675220880 +05 34 07.035585024,5.678
HD 29499                           ,04 39 06.1590186912 +07 52 15.553412364,5.365
* 49 Eri                           ,04 37 13.6740902 +00 59 53.928369      ,5.315
* 45 Eri                           ,04 31 52.6686292560 -00 02 38.439836664,4.896
* 51 Eri                           ,04 37 36.1326090888 -02 28 24.775726260,5.209
* nu. Eri                          ,04 36 19.1414419 -03 21 08.856678      ,3.928
HD 28843                           ,04 32 37.5537339576 -03 12 34.344832032,5.81
* 46 Eri                           ,04 33 54.7276383864 -06 44 20.082451164,5.72
* 47 Eri                           ,04 34 11.6284570104 -08 13 52.865593248,5.188
HD 29065                           ,04 34 11.7698900760 -08 58 12.919690308,5.229
HD 29573                           ,04 38 53.5501496352 -12 07 23.068127568,5.002
* l Eri                            ,04 38 10.8240964091 -14 18 14.483465432,3.87
HD 29613                           ,04 39 19.7106414840 -14 21 33.082104168,5.463
* l Eri A                          ,04 38 10.825021 -14 18 14.33935        ,3.89
* 54 Eri                           ,04 40 26.5114226976 -19 40 17.370744924,4.3
HD 29737                           ,04 40 06.8012923080 -24 28 56.525676780,5.563
* ups01 Eri                        ,04 33 30.5522530392 -29 45 59.370656652,4.51
* ups02 Eri                        ,04 35 33.0383354 -30 33 44.429731      ,3.82
HD 28776                           ,04 30 40.3296175104 -35 39 12.637298412,5.95
* alf Cae                          ,04 40 33.71305 -41 51 49.5075          ,4.45
HD 30138                           ,04 46 44.4767996280 +40 18 45.324902304,6
* 1 Aur                            ,04 49 54.6394565 +37 29 17.793572      ,4.867
HD 30453                           ,04 49 19.0800954840 +32 35 17.491969320,5.824
HD 30454                           ,04 49 12.8472035040 +31 26 14.547779052,5.578
HD 29646                           ,04 41 19.7614386744 +28 36 53.958282516,5.729
* tau Tau                          ,04 42 14.6992451952 +22 57 24.850133388,4.258
HD 30197                           ,04 46 16.8269415552 +18 44 04.891683912,5.981
* i Tau                            ,04 51 22.4635311552 +18 50 23.485866432,5.085
HD 30210                           ,04 46 01.7404096416 +11 42 20.112329592,5.346
HD 30034                           ,04 44 25.8285113424 +11 08 46.083452208,5.379
* pi.02 Ori                        ,04 50 36.7229825 +08 54 00.649333      ,4.35
* pi.03 Ori                        ,04 49 50.4109057 +06 57 40.588294      ,3.19
* pi.04 Ori                        ,04 51 12.3647208 +05 36 18.372305      ,3.68
* mu. Eri                          ,04 45 30.1503818 -03 15 16.776562      ,4
HD 30562                           ,04 48 36.3850851388 -05 40 26.557737782,5.77
* 56 Eri                           ,04 44 05.3207274312 -08 30 12.852684720,5.81
HD 30127                           ,04 44 07.9814945520 -18 39 59.707734372,5.522
* 59 Eri                           ,04 48 32.5336286112 -16 19 46.151304420,5.755
* 60 Eri                           ,04 50 11.6161558368 -16 13 01.775677620,5.028
* 58 Eri                           ,04 47 36.2917029384 -16 56 04.040472552,5.5
HD 30238                           ,04 45 04.1610341832 -21 17 00.174536412,5.692
HD 30080                           ,04 43 09.2929756560 -30 45 56.016628056,5.663
HD 31093                           ,04 51 28.2164423 -34 54 22.634070      ,5.833
* bet Cae                          ,04 42 03.4822983552 -37 08 39.588865224,5.05
HD 30823                           ,04 52 47.7573421152 +42 35 11.858964360,5.675
* eps Aur                          ,05 01 58.1343686760 +43 49 23.917115316,2.99
* 5 Aur                            ,05 00 18.3396485448 +39 23 40.939197468,5.97
* zet Aur                          ,05 02 28.6873880 +41 04 33.019985      ,3.75
* 2 Aur                            ,04 52 37.9803457176 +36 42 11.477114460,4.779
* iot Aur                          ,04 56 59.6210887 +33 09 57.958479      ,2.69
HD 30912                           ,04 52 47.1169861176 +27 53 50.963387784,5.961
* k Tau                            ,04 58 09.3920531112 +25 03 01.464917904,5.785
* 99 Tau                           ,04 57 48.6456469296 +23 56 54.846669516,5.806
* iot Tau                          ,05 03 05.7465241272 +21 35 23.860305924,4.615
HD 31539                           ,04 57 22.3448571000 +17 09 13.198262652,5.49
* omi Ori                          ,04 52 31.9624004856 +14 15 02.311506180,4.721
HD 31373                           ,04 55 50.1515237736 +15 02 24.942409800,5.776
* g Ori                            ,04 54 46.8951728160 +11 25 33.539033100,5.184
* omi02 Ori                        ,04 56 22.2759672613 +13 30 52.087623488,4.06
* pi.01 Ori                        ,04 54 53.7287660 +10 09 02.995200      ,4.648
HD 31296                           ,04 54 47.7820320312 +07 46 44.746711104,5.324
* 5 Ori                            ,04 53 22.7727382 +02 30 29.610420      ,5.324
* pi.05 Ori                        ,04 54 15.0970445784 +02 26 26.417970456,3.73
HD 31331                           ,04 54 50.7090091656 +00 28 01.799133996,5.965
* pi.06 Ori                        ,04 58 32.9022894600 +01 42 50.448732336,4.459
HD 32263                           ,05 01 50.3526848016 +00 43 19.593583608,5.908
HD 32393                           ,05 02 45.3948278328 -04 12 36.436101804,5.853
* b Eri                            ,04 56 24.1867291992 -05 10 16.884454476,5.482
* ome Eri                          ,04 52 53.6699535 -05 27 09.697201      ,4.4
* psi Eri                          ,05 01 26.3459959 -07 10 26.266203      ,4.81
* 63 Eri                           ,04 59 50.4534782856 -10 15 47.916588204,5.39
* 64 Eri                           ,04 59 55.7367907152 -12 32 14.700428412,4.77
HD 31414                           ,04 55 06.8242387728 -16 44 26.398748436,5.688
HD 31925A                          ,04 59 01.3662077158 -16 22 33.719333869,5.92
* R Eri                            ,04 55 18.6578319504 -16 25 03.974374884,5.715
HD 32309                           ,05 01 25.5805525608 -20 03 06.908278068,4.885
* 1 Lep                            ,05 02 44.9788756344 -22 47 42.189372348,5.738
HD 32436                           ,05 02 09.8215314816 -26 16 30.100584216,5.002
HD 32515                           ,05 02 22.8044582352 -31 46 16.802804748,5.903
* eta Aur                          ,05 06 30.8933734 +41 14 04.112721      ,3.18
* mu. Aur                          ,05 13 25.7220235464 +38 29 04.195617900,4.821
HD 33204                           ,05 09 45.0937327344 +28 01 49.686514248,5.997
* 103 Tau                          ,05 08 06.6223554696 +24 15 54.628591608,5.5
* 105 Tau                          ,05 07 55.4349577176 +21 42 17.349368184,5.92
* l Tau                            ,05 07 48.3996326640 +20 25 06.155206608,5.28
* 11 Ori                           ,05 04 34.1491631 +15 24 14.777073      ,4.661
* 15 Ori                           ,05 09 41.9571460296 +15 35 49.966969920,4.82
HD 33554                           ,05 11 41.5642629 +16 02 44.421772      ,5.163
* h Ori                            ,05 09 19.6432730712 +09 49 46.502673924,5.43
* i Ori A                          ,05 07 52.885533 +08 29 54.36326        ,5.72
HD 34043                           ,05 14 44.0491051584 +05 09 22.128314616,5.494
* rho Ori                          ,05 13 17.48015 +02 51 40.5479          ,4.44
HD 33646                           ,05 11 45.35175 +01 02 13.3039          ,5.89
HD 33608                           ,05 11 19.1763275184 -02 29 26.816850132,5.892
* 66 Eri                           ,05 06 45.6527881872 -04 39 18.601025148,5.12
* 68 Eri                           ,05 08 43.6987121400 -04 27 22.349830176,5.119
* bet Eri                          ,05 07 50.98549 -05 05 11.2055          ,2.79
* bet Ori                          ,05 14 32.27210 -08 12 05.8981          ,0.13
HD 33833                           ,05 12 48.1289445432 -06 03 25.881858180,5.892
HD 33224                           ,05 08 20.1907146432 -08 39 55.171526364,5.78
* lam Eri                          ,05 09 08.7831482 -08 45 14.690823      ,4.27
* iot Lep                          ,05 12 17.9019041 -11 52 09.186279      ,4.45
HD 33093                           ,05 07 24.9631786008 -12 29 28.573529244,5.956
V* RX Lep                          ,05 11 22.8715425 -11 50 56.722211      ,5.68
* mu. Lep                          ,05 12 55.9029641016 -16 12 19.668599100,3.29
* eps Lep                          ,05 05 27.6653698 -22 22 15.723893      ,3.18
HD 32667                           ,05 03 53.2718474160 -24 23 17.331047916,5.582
HD 32890                           ,05 05 16.1955410712 -26 09 08.605270728,5.695
HD 34266                           ,05 14 28.8457803672 -35 58 37.190414244,5.731
* gam Cae                          ,05 04 24.40218 -35 28 58.7161          ,4.55
V* PU Aur                          ,05 18 15.6972327216 +42 47 31.596705996,5.65
* rho Aur                          ,05 21 48.4165451880 +41 48 16.459353360,5.207
HD 34557                           ,05 20 14.6744198544 +41 05 10.455795384,5.456
HD 34904                           ,05 22 50.3142229176 +41 01 45.334845516,5.542
* lam Aur                          ,05 19 08.4754499121 +40 05 56.585080940,4.71
C 0519+409                         ,05 22 18.5 +41 01 30                   ,4.2
* sig Aur                          ,05 24 39.1414789752 +37 23 07.256761044,4.996
V* AE Aur                          ,05 16 18.1493304816 +34 18 44.344404000,5.96
* 19 Aur                           ,05 20 00.9210992208 +33 57 28.994858280,5.03
V* IQ Aur                          ,05 19 00.0284573784 +33 44 54.220806888,5.371
* 14 Aur                           ,05 15 24.3941965368 +32 41 15.359679780,5
HD 35239                           ,05 24 38.5197436824 +31 08 35.334023208,5.925
HD 34790                           ,05 21 12.6874270872 +29 34 11.592726924,5.67
* n Tau                            ,05 19 16.6061769240 +22 05 47.421418380,4.948
* 18 Ori                           ,05 16 04.1346616440 +11 20 28.878184140,5.515
HD 34989                           ,05 21 43.5623819760 +08 25 42.799279584,5.8
* gam Ori                          ,05 25 07.86325 +06 20 58.9318          ,1.64
* 23 Ori                           ,05 22 50.0039865384 +03 32 40.051458204,5
* 21 Ori                           ,05 19 11.2200948192 +02 35 44.879900712,5.325
* psi01 Ori                        ,05 24 44.8273848312 +01 50 47.201915688,4.96
HD 35007                           ,05 21 31.8439978656 -00 24 59.374321704,5.68
* o Ori                            ,05 21 45.7473567408 -00 22 56.880734196,4.74
HD 35299                           ,05 23 42.3086240496 -00 09 35.347024692,5.7
* p Ori                            ,05 24 28.8969780456 -00 53 28.805349264,5.072
* eta Ori                          ,05 24 28.61672 -02 23 49.7311          ,3.35
* tau Ori                          ,05 17 36.3885646 -06 50 39.870187      ,3.59
* e Ori                            ,05 23 56.8276764 -07 48 29.033204      ,4.12
HD 35536                           ,05 25 01.7438428440 -10 19 43.989013776,5.586
* nu. Lep                          ,05 19 59.0231920080 -12 18 56.110551876,5.284
HD 34538                           ,05 17 40.2419103024 -13 31 11.376177060,5.488
* lam Lep                          ,05 19 34.5240485 -13 10 36.440791      ,4.29
* 8 Lep                            ,05 23 30.1560451200 -13 55 38.470509624,5.229
HD 35505                           ,05 24 28.4869999272 -16 58 32.795612400,5.636
HD 34721                           ,05 18 50.4728918171 -18 07 48.185476698,5.96
HD 35736                           ,05 25 59.8251814392 -19 41 43.450904328,5.817
HD 34968                           ,05 20 26.9147809752 -21 14 23.148600180,4.729
HR 1771                            ,05 21 46.25452 -24 46 22.7417          ,5.06
HD 34310                           ,05 15 24.3722174592 -26 56 36.629251584,5.04
HD 34868                           ,05 19 23.6850219720 -27 22 07.984215876,5.972
* omi Col                          ,05 17 29.0887389637 -34 53 42.722762056,4.83
V* SW Col                          ,05 23 24.0245424768 -39 40 42.309563988,5.77
HD 36040                           ,05 30 48.6511497192 +41 27 43.171958808,5.991
HD 35520                           ,05 26 48.8036076216 +34 23 30.504655824,5.905
* phi Aur                          ,05 27 38.8838207832 +34 28 33.166942464,5.059
M 36                               ,05 36 20.2 +34 08 06                   ,6
* chi Aur                          ,05 32 43.6731178 +32 11 31.275310      ,4.79
HD 35600                           ,05 27 08.2723588272 +30 12 30.969836964,5.72
* bet Tau                          ,05 26 17.51312 +28 36 26.8262          ,1.65
* 118 Tau                          ,05 29 16.50008 +25 09 00.7781          ,5.48
* 121 Tau                          ,05 35 27.1304728 +24 02 22.524669      ,5.38
* o Tau                            ,05 27 38.0840639 +21 56 13.073806      ,4.868
* 115 Tau                          ,05 27 10.0947879432 +17 57 43.960547556,5.404
* 117 Tau                          ,05 28 01.6100522208 +17 14 20.867570448,5.758
* 122 Tau                          ,05 37 03.7355706744 +17 02 25.177772616,5.525
* 120 Tau                          ,05 33 31.6304227080 +18 32 24.827431848,5.69
* 119 Tau                          ,05 32 12.7525072 +18 35 39.243589      ,4.33
* 116 Tau                          ,05 27 45.6080941512 +15 52 26.581791360,5.515
HD 36162                           ,05 30 26.1637591560 +15 21 37.609774992,5.934
* 35 Ori                           ,05 33 54.2825076984 +14 18 20.043792792,5.593
HD 36881                           ,05 35 13.2466726656 +10 14 24.278794332,5.638
HD 37171                           ,05 37 04.3824418008 +11 02 05.985111696,5.9
* phi01 Ori                        ,05 34 49.2380370 +09 29 22.487814      ,4.41
* lam Ori                          ,05 35 08.27761 +09 56 02.9611          ,3.66
* phi02 Ori                        ,05 36 54.3885728561 +09 17 26.416510827,4.09
Cl Collinder 69                    ,05 35 10.1 +09 48 47                   ,2.8
* lam Ori A                        ,05 35 08.2760807112 +09 56 02.991326316,3.47
* 32 Ori A                         ,05 30 47.0510459520 +05 56 53.323013148,4.46
* 32 Ori                           ,05 30 47.05091 +05 56 53.2925          ,4.2
* psi02 Ori                        ,05 26 50.2293232104 +03 05 44.422154160,4.611
* n01 Ori                          ,05 31 14.53183 +03 17 31.6729          ,5.46
* 38 Ori                           ,05 34 16.7734419624 +03 46 00.862561380,5.326
HD 36166                           ,05 29 54.7742113464 +01 47 21.333288804,5.745
HD 36591                           ,05 32 41.3510096736 -01 35 30.595447356,5.34
HD 36780                           ,05 34 04.0475348112 -01 28 12.872573256,5.895
* 31 Ori                           ,05 29 43.9820095248 -01 05 32.058334392,4.71
V* VV Ori                          ,05 33 31.4464933704 -01 09 21.859452468,5.34
* eps Ori                          ,05 36 12.81335 -01 12 06.9089          ,1.69
* del Ori                          ,05 32 00.40009 -00 17 56.7424          ,2.41
HD 36134                           ,05 29 23.6846256912 -03 26 47.015398356,5.78
* c Ori                            ,05 35 23.16427 -04 50 18.0881          ,4.59
* 45 Ori                           ,05 35 39.4841556384 -04 51 21.839576760,5.234
NGC 1981                           ,05 35 23.5 -04 29 10                   ,4.2
* tet01 Ori C                      ,05 35 16.4662967280 -05 23 22.921811880,5.13
HD 36959                           ,05 35 01.0070120496 -06 00 33.366713364,5.53
NGC 1980                           ,05 35 14.4 -05 55 26                   ,2.5
* iot Ori                          ,05 35 25.9819073 -05 54 35.643537      ,2.77
* ups Ori                          ,05 31 55.8601879 -07 18 05.537157      ,4.63
HD 36960                           ,05 35 02.6807398 -06 00 07.303539      ,4.72
* alf Lep                          ,05 32 43.8161188 -17 49 20.241380      ,2.57
* bet Lep                          ,05 28 14.7231588 -20 45 33.987791      ,2.84
* 10 Lep                           ,05 31 07.6278928056 -20 51 49.167638748,5.525
HD 37192                           ,05 35 15.4752598680 -33 04 47.017028604,5.755
* eps Col                          ,05 31 12.7474803792 -35 28 13.823766588,3.87
HD 36874                           ,05 33 07.3874120568 -35 08 21.747176700,5.758
HD 36187                           ,05 28 15.3350066568 -37 13 50.747659536,5.552
HD 36848                           ,05 32 51.4130143944 -38 30 48.130649928,5.456
HD 36060                           ,05 27 05.3115884040 -40 56 36.687044580,5.847
* 26 Aur                           ,05 38 38.0850966 +30 29 32.705388      ,5.406
HD 37367                           ,05 39 18.3135535104 +29 12 54.788852916,5.984
* 125 Tau                          ,05 39 44.2007942808 +25 53 49.540025004,5.166
* zet Tau                          ,05 37 38.6854231 +21 08 33.158804      ,3.03
* 130 Tau                          ,05 47 26.1955759800 +17 43 44.912066232,5.455
* 126 Tau                          ,05 41 17.7176759 +16 32 02.925299      ,4.836
* 129 Tau                          ,05 46 45.4968290688 +15 49 20.982467280,5.994
* 131 Tau                          ,05 47 13.1536316 +14 29 17.967416      ,5.721
* 133 Tau                          ,05 47 42.9074397024 +13 53 58.545937968,5.29
HD 38527                           ,05 46 52.1342360232 +09 31 20.423380332,5.768
HD 37320                           ,05 38 01.1188509192 +07 32 29.100074784,5.852
* ome Ori                          ,05 39 11.1463172 +04 07 17.279475      ,4.59
* b Ori                            ,05 42 28.6322296656 +01 28 28.665837804,4.9
HD 37788                           ,05 41 05.5958352240 +00 20 15.915863220,5.912
* sig Ori                          ,05 38 44.7653828520 -02 36 00.283179888,3.79
HD 37756                           ,05 40 50.7149778 -01 07 43.636548      ,4.95
* zet Ori B                        ,05 40 45.571207 -01 56 35.58704        ,3.73
* zet Ori                          ,05 40 45.52666 -01 56 33.2649          ,1.77
* zet Ori A                        ,05 40 45.527143 -01 56 33.26036        ,1.9
HD 37594                           ,05 39 31.1505858528 -03 33 52.935083280,5.974
HD 38858                           ,05 48 34.9402551240 -04 05 40.721787744,5.97
HD 37481                           ,05 38 37.9735682376 -06 34 26.246963640,5.96
* d Ori                            ,05 38 53.0831846256 -07 12 46.187179740,4.8
HD 38089                           ,05 42 53.9141430 -06 47 46.206245      ,5.965
* kap Ori                          ,05 47 45.3888404 -09 40 10.577707      ,2.06
* zet Lep                          ,05 46 57.3409587 -14 49 19.019943      ,3.525
HD 38206                           ,05 43 21.6709239120 -18 33 26.911637928,5.727
* 12 Lep                           ,05 42 13.9587794640 -22 22 25.370491008,5.89
* gam Lep                          ,05 44 27.7906169580 -22 26 54.187756254,3.6
* nu.02 Col                        ,05 37 44.6176295592 -28 41 22.884909396,5.31
HD 37811                           ,05 39 49.8397379112 -32 37 45.177232224,5.437
* mu. Col                          ,05 45 59.8950238944 -32 18 23.162261796,5.18
* alf Col                          ,05 39 38.9410319 -34 04 26.794991      ,2.65
V* WZ Col                          ,05 42 15.1944693696 -34 40 04.139920488,5.283
HD 37717                           ,05 38 43.5276726168 -40 42 26.316937044,5.804
* bet Aur                          ,05 59 31.7229284 +44 56 50.757259      ,1.9
* tau Aur                          ,05 49 10.4382558 +39 10 51.862703      ,4.5
* nu. Aur                          ,05 51 29.3694581040 +39 08 54.686085540,3.95
* ups Aur                          ,05 51 02.4372885624 +37 18 20.050901892,4.74
* tet Aur                          ,05 59 43.27012 +37 12 45.3047          ,2.62
M 37                               ,05 52 17.8 +32 32 42                   ,5.6
HD 39004                           ,05 50 58.1101960824 +27 58 04.303141428,5.582
* 136 Tau                          ,05 53 19.6460573 +27 36 44.137837      ,4.552
* 139 Tau                          ,05 57 59.6563212 +25 57 14.079839      ,4.82
* 132 Tau                          ,05 49 00.9709498512 +24 34 02.858704284,4.873
V* U Ori                           ,05 55 49.1707632432 +20 10 30.677904084,5.4
HD 39286                           ,05 52 23.4063709536 +19 52 04.250177472,5.985
* 57 Ori                           ,05 54 56.6868869640 +19 44 58.624495332,5.894
* chi01 Ori                        ,05 54 22.9829893 +20 16 34.222038      ,4.4
* 135 Tau                          ,05 50 28.9084011720 +14 18 20.185602120,5.52
* 137 Tau                          ,05 52 22.2914333688 +14 10 18.428386584,5.586
* 134 Tau                          ,05 49 32.9297423 +12 39 04.758221      ,4.875
HD 40369                           ,05 58 53.23652 +12 48 29.7476          ,5.75
HD 40020                           ,05 56 49.4497394952 +11 31 15.812064624,5.884
HD 39007                           ,05 50 02.68591 +09 52 16.3739          ,5.867
HD 39985                           ,05 56 28.0340301432 +09 30 33.815113416,5.964
* alf Ori                          ,05 55 10.30536 +07 24 25.4304          ,0.42
HD 39051                           ,05 50 13.0654076112 +04 25 24.260302020,5.936
BD+01 1148                         ,05 50 30.0274309488 +02 01 28.930473300,5.976
* 56 Ori                           ,05 52 26.4385770120 +01 51 18.496311408,4.75
* 59 Ori                           ,05 58 24.4430191896 +01 50 13.590173724,5.886
HD 39775                           ,05 54 44.0366029344 +00 58 07.016329344,5.975
* 60 Ori                           ,05 58 49.5747232224 +00 33 10.736412264,5.2
HD 39910                           ,05 55 30.1715488392 -04 36 59.560143372,5.857
* 55 Ori                           ,05 51 21.9836353224 -07 31 04.810910700,5.341
HD 39421                           ,05 52 07.7290666608 -09 02 30.844893552,5.96
* 2 Mon                            ,05 59 04.3133286288 -09 33 29.710004544,5.029
HD 39853                           ,05 54 43.6305696648 -11 46 27.098071500,5.613
HD 39070                           ,05 49 36.54255 -14 29 01.1989          ,5.49
* eta Lep                          ,05 56 24.2934904501 -14 10 03.718335613,3.72
* del Lep                          ,05 51 19.2960278488 -20 52 44.730655825,3.85
HD 39190                           ,05 49 53.5042258560 -22 58 18.772500216,5.861
HD 40151                           ,05 56 14.2716330840 -22 50 23.914176972,5.945
* sig Col                          ,05 56 20.9432266824 -31 22 56.780114700,5.51
* lam Col                          ,05 53 06.8816254656 -33 48 04.907584296,4.87
* bet Col                          ,05 50 57.5921991 -35 46 05.915211      ,3.12
* gam Col                          ,05 57 32.2095768 -35 16 59.815276      ,4.36
HD 39720                           ,05 52 33.1850407800 -37 37 51.822744420,5.615
* ksi Col                          ,05 55 29.9148208896 -37 07 14.459369592,4.961
HD 40091                           ,05 54 52.4829963792 -39 57 28.294614468,5.543
* eta Col                          ,05 59 08.8051933 -42 48 54.482180      ,3.96
HD 40733                           ,05 58 37.5470521272 -44 02 04.417137240,5.802
* 40 Aur                           ,06 06 35.0975220648 +38 28 57.528452532,5.345
* 3 Gem                            ,06 09 43.9852949424 +23 06 48.472220448,5.75
* 1 Gem                            ,06 04 07.21544 +23 15 48.0401          ,4.15
HD 42049                           ,06 09 32.4369928752 +22 11 24.954033876,5.904
* 64 Ori                           ,06 03 27.3639419184 +19 41 26.026161180,5.13
* chi02 Ori                        ,06 03 55.1843706432 +20 08 18.428141364,4.63
* nu. Ori                          ,06 07 34.3258759 +14 46 06.506096      ,4.397
NGC 2169                           ,06 08 30.0 +13 57 04                   ,5.9
* mu. Ori A                        ,06 02 22.996728 +09 38 50.23790        ,4.3
* mu. Ori                          ,06 02 22.99668 +09 38 50.1820          ,4.13
* 63 Ori                           ,06 04 58.1829199344 +05 25 11.881065828,5.658
* 66 Ori                           ,06 04 58.3589125872 +04 09 31.184861544,5.621
HD 42111                           ,06 08 57.9037271424 +02 29 58.885200456,5.73
HD 40657                           ,06 00 03.3496339392 -03 04 27.330496968,4.52
HD 41692                           ,06 06 38.7363839832 -04 11 37.808375208,5.362
HD 41335                           ,06 04 13.5003372120 -06 42 32.225392980,5.21
* 3 Mon                            ,06 01 50.4219224448 -10 35 52.551122496,5.01
HD 41547                           ,06 05 27.0321585168 -10 14 33.342700128,5.874
* tet Lep                          ,06 06 09.3238729536 -14 56 06.919393776,4.663
HD 42341                           ,06 09 34.5239521104 -14 35 04.625125368,5.555
* 17 Lep                           ,06 04 59.1294521328 -16 29 03.969238632,4.93
* 19 Lep                           ,06 07 41.6381446608 -19 09 57.119590692,5.279
V* YY Lep                          ,06 06 57.5128158144 -21 48 44.273545668,5.78
HD 42301                           ,06 08 57.8693786976 -22 25 38.616147300,5.48
HD 41841                           ,06 06 32.0963837952 -23 06 39.054140928,5.46
HD 42443                           ,06 09 47.9549223864 -22 46 27.623296236,5.717
HD 41312                           ,06 03 15.6036671424 -26 17 04.354069992,5.04
HD 42621                           ,06 10 34.6802665464 -27 09 15.633629136,5.698
HD 41843                           ,06 06 05.5392522384 -29 45 31.046623668,5.784
* 72 Col                           ,06 04 20.2652600736 -32 10 20.744923584,5.631
HD 41047                           ,06 01 16.2976481208 -33 54 42.608011716,5.524
HD 42054                           ,06 07 03.6694879368 -34 18 43.279841124,5.836
HD 41759                           ,06 05 27.1785860376 -35 30 49.129028748,5.795
* tet Col                          ,06 07 31.6328242248 -37 15 10.509229800,4.994
V* AF Col                          ,06 10 10.4039398536 -40 21 13.646464092,5.58
* pi.02 Col                        ,06 07 52.8595215384 -42 09 14.548286808,5.492
HD 42471                           ,06 12 20.1250774800 +32 41 36.173610600,5.769
* kap Aur                          ,06 15 22.6890616 +29 29 53.076043      ,4.35
* 5 Gem                            ,06 11 32.3055155472 +24 25 12.911112444,5.825
* eta Gem                          ,06 14 52.6452865329 +22 30 24.434377815,3.28
C 0615+236                         ,06 18 00.0 +23 38 00                   ,5.7
* 68 Ori                           ,06 12 01.3413962496 +19 47 25.949512824,5.749
* f01 Ori                          ,06 12 03.2795497 +16 07 49.461443      ,4.92
* ksi Ori                          ,06 11 56.3969311 +14 12 31.555546      ,4.48
* f02 Ori                          ,06 15 25.1283615984 +16 08 35.395023048,5.327
HD 44033                           ,06 20 04.2239782152 +14 39 04.066374096,5.658
HD 43112                           ,06 15 08.4727512648 +13 51 03.959285616,5.894
* 73 Ori                           ,06 15 44.9645074704 +12 33 03.852985464,5.467
* l Ori                            ,06 17 06.6198800712 +09 56 32.614989288,5.386
HD 43318                           ,06 15 34.2651318984 -00 30 43.880774652,5.65
HD 44131                           ,06 19 59.6005930 -02 56 40.176553      ,4.899
HD 43023                           ,06 13 54.2339540784 -03 44 28.935892248,5.833
HD 43157                           ,06 14 36.7027034832 -04 34 06.441226500,5.819
HD 43319                           ,06 15 29.6730971640 -04 54 52.984684008,5.998
HD 42690                           ,06 11 51.8143365264 -06 33 01.020314772,5.04
* gam Mon                          ,06 14 51.3336645 -06 16 29.188011      ,3.96
* 7 Mon                            ,06 19 42.8000378856 -07 49 22.461305592,5.252
HD 43993                           ,06 18 50.5825087872 -09 23 24.065629152,5.352
